"clockTime","down","driveNetYards","drivePlayCount","driveSequenceNumber","driveTimeOfPossession","endClockTime","endYardLine","firstDown","goalToGo","nextPlayIsGoalToGo","nextPlayType","orderSequence","penaltyOnPlay","playClock","playDeleted","playDescription","playDescriptionWithJerseyNumbers","playId","playReviewStatus","isBigPlay","playType","playStats","prePlayByPlay","quarter","scoringPlay","scoringPlayType","shortDescription","specialTeamsPlay","stPlayType","timeOfDay","yardLine","yards","yardsToGo","latestPlay","possessionTeam.abbreviation","possessionTeam.nickName","possessionTeam.franchise.currentLogo.url","scoringTeam.id","scoringTeam.abbreviation","scoringTeam.nickName"
"",0,NA,NA,NA,NA,"","",FALSE,FALSE,FALSE,"XP_KICK",1,FALSE,"0",FALSE,"GAME","GAME",1,NA,NA,"GAME_START","list()","MIN - NO",1,FALSE,NA,"GAME",FALSE,NA,"","",0,0,NA,NA,NA,NA,NA,NA,NA
"15:00",0,17,2,1,"0:50","","MIN 25",FALSE,FALSE,FALSE,"XP_KICK",36,FALSE,"8",FALSE,"W.Lutz kicks 65 yards from NO 35 to end zone, Touchback.","3-W.Lutz kicks 65 yards from NO 35 to end zone, Touchback.",36,NA,NA,"KICK_OFF","list(statId = c(410, 44, 51), yards = c(69, 65, 0), playerName = c(""W.Lutz"", ""W.Lutz"", NA), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""NO"", ""MIN""), gsisPlayer.id = c(""32013030-2d30-3033-3235-3639b354dd13"", ""32013030-2d30-3033-3235-3639b354dd13"", NA))","NO  KO  NO 35",1,FALSE,NA,"W.Lutz kicks 65 yards from NO 35 to end zone, Touchback.",TRUE,NA,"18:05:46","NO 35",40,0,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"15:00",1,17,2,1,"0:50","","MIN 30",TRUE,FALSE,FALSE,"XP_KICK",51,TRUE,"15",FALSE,"(15:00) K.Cousins pass incomplete short left to S.Diggs. PENALTY on NO-J.Jenkins, Defensive Holding, 5 yards, enforced at MIN 25 - No Play.","(15:00) 8-K.Cousins pass incomplete short left to 14-S.Diggs. PENALTY on NO-20-J.Jenkins, Defensive Holding, 5 yards, enforced at MIN 25 - No Play.",51,NA,NA,"PENALTY","list(statId = c(5, 93), yards = c(0, 5), playerName = c(NA, ""J.Jenkins""), team.id = c(""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a""), team.abbreviation = c(""MIN"", ""NO""), gsisPlayer.id = c(NA, ""32013030-2d30-3032-3936-383164609c06""))","MIN  1-10  MIN 25",1,FALSE,NA,"(15:00) K.Cousins pass incomplete short left to S.Diggs. PENALTY on NO-J.Jenkins, Defensive Holding, 5 yards, enforced at MIN 25 - No Play.",FALSE,NA,"18:06:23","MIN 25",5,10,NA,"MIN","Vikings","https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu",NA,NA,NA
"14:56",1,17,2,1,"0:50","","MIN 39",FALSE,FALSE,FALSE,"XP_KICK",84,FALSE,"13",FALSE,"(14:56) D.Cook left guard to MIN 39 for 9 yards (J.Jenkins; M.Williams).","(14:56) 33-D.Cook left guard to MIN 39 for 9 yards (20-J.Jenkins; 43-M.Williams).",84,NA,FALSE,"RUSH","list(statId = c(10, 82, 82), yards = c(9, 0, 0), playerName = c(""D.Cook"", ""J.Jenkins"", ""M.Williams""), team.id = c(""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a""), team.abbreviation = c(""MIN"", ""NO"", ""NO""), gsisPlayer.id = c(""32013030-2d30-3033-3338-39337f9ee497"", ""32013030-2d30-3032-3936-383164609c06"", ""32013030-2d30-3033-3338-39343397c6cc""))","MIN  1-10  MIN 30",1,FALSE,NA,"(14:56) D.Cook left guard to MIN 39 for 9 yards (J.Jenkins; M.Williams).",FALSE,NA,"18:07:09","MIN 30",9,10,NA,"MIN","Vikings","https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu",NA,NA,NA
"14:18",2,17,2,1,"0:50","","MIN 42",FALSE,FALSE,FALSE,"XP_KICK",105,FALSE,"10",FALSE,"(14:18) K.Cousins pass short right to A.Thielen to MIN 42 for 3 yards (J.Jenkins). FUMBLES (J.Jenkins), RECOVERED by NO-V.Bell at MIN 43. V.Bell ran ob at MIN 37 for 6 yards (K.Rudolph). Pass -2, YAC 5 The Replay Official reviewed the runner was out of bounds ruling, and the play was Upheld. The ruling on the field stands.","(14:18) 8-K.Cousins pass short right to 19-A.Thielen to MIN 42 for 3 yards (20-J.Jenkins). FUMBLES (20-J.Jenkins), RECOVERED by NO-24-V.Bell at MIN 43. 24-V.Bell ran ob at MIN 37 for 6 yards (82-K.Rudolph). Pass -2, YAC 5 The Replay Official reviewed the runner was out of bounds ruling, and the play was Upheld. The ruling on the field stands.",105,NA,FALSE,"PASS","list(statId = c(15, 111, 21, 115, 113, 79, 52, 106, 91, 59, 79), yards = c(3, -2, 3, 0, 5, 0, 0, 0, 0, 6, 0), playerName = c(""K.Cousins"", ""K.Cousins"", ""A.Thielen"", ""A.Thielen"", ""A.Thielen"", ""J.Jenkins"", ""A.Thielen"", ""A.Thielen"", ""J.Jenkins"", ""V.Bell"", ""K.Rudolph""), team.id = c(""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", 
""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""MIN"", ""MIN"", ""MIN"", ""MIN"", ""MIN"", ""NO"", ""MIN"", ""MIN"", ""NO"", ""NO"", ""MIN""), gsisPlayer.id = c(""32013030-2d30-3032-3936-303492e9d55e"", ""32013030-2d30-3032-3936-303492e9d55e"", ""32013030-2d30-3033-3030-3335960ad201"", ""32013030-2d30-3033-3030-3335960ad201"", ""32013030-2d30-3033-3030-3335960ad201"", 
""32013030-2d30-3032-3936-383164609c06"", ""32013030-2d30-3033-3030-3335960ad201"", ""32013030-2d30-3033-3030-3335960ad201"", ""32013030-2d30-3032-3936-383164609c06"", ""32013030-2d30-3033-3239-3339a61e7393"", ""32013030-2d30-3032-3739-383145dad36a""))","MIN  2-1  MIN 39",1,FALSE,NA,"(14:18) K.Cousins pass short right to A.Thielen to MIN 42 for 3 yards (J.Jenkins). FUMBLES (J.Jenkins), RECOVERED by NO-V.Bell at MIN 43. V.Bell ran ob at MIN 37 for 6 yards (K.Rudolph). Pass -2, YAC 5 The Replay Official reviewed the runner was out of bounds ruling, and the play was Upheld. The ruling on the field stands.",FALSE,NA,"18:07:47","MIN 39",3,1,NA,"MIN","Vikings","https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu",NA,NA,NA
"14:10",1,26,8,2,"4:18","14:07","MIN 33",FALSE,FALSE,FALSE,"XP_KICK",150,FALSE,"12",FALSE,"(14:10) A.Kamara left guard to MIN 33 for 4 yards (L.Joseph; E.Kendricks).","(14:10) 41-A.Kamara left guard to MIN 33 for 4 yards (98-L.Joseph; 54-E.Kendricks).",150,NA,FALSE,"RUSH","list(statId = c(10, 82, 82), yards = c(4, 0, 0), playerName = c(""A.Kamara"", ""L.Joseph"", ""E.Kendricks""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""MIN"", ""MIN""), gsisPlayer.id = c(""32013030-2d30-3033-3339-3036f296898c"", ""32013030-2d30-3032-3738-3835b8883a72"", ""32013030-2d30-3033-3135-353413ebca60""))","NO  1-10  MIN 37",1,FALSE,NA,"(14:10) A.Kamara left guard to MIN 33 for 4 yards (L.Joseph; E.Kendricks).",FALSE,NA,"18:13:22","MIN 37",4,10,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"13:39",2,26,8,2,"4:18","","MIN 28",FALSE,FALSE,FALSE,"XP_KICK",181,FALSE,"15",FALSE,"(13:39) L.Murray left guard to MIN 28 for 5 yards (D.Hunter; A.Barr).","(13:39) 28-L.Murray left guard to MIN 28 for 5 yards (99-D.Hunter; 55-A.Barr).",181,NA,FALSE,"RUSH","list(statId = c(10, 82, 82), yards = c(5, 0, 0), playerName = c(""L.Murray"", ""D.Hunter"", ""A.Barr""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""MIN"", ""MIN""), gsisPlayer.id = c(""32013030-2d30-3033-3035-3133a7a74674"", ""32013030-2d30-3033-3135-3635a7e4ecea"", ""32013030-2d30-3033-3132-35365e470a5e""))","NO  2-6  MIN 33",1,FALSE,NA,"(13:39) L.Murray left guard to MIN 28 for 5 yards (D.Hunter; A.Barr).",FALSE,NA,"18:13:54","MIN 33",5,6,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"13:06",3,26,8,2,"4:18","","MIN 26",TRUE,FALSE,FALSE,"XP_KICK",202,FALSE,"13",FALSE,"(13:06) T.Hill right tackle to MIN 26 for 2 yards (E.Wilson).","(13:06) 7-T.Hill right tackle to MIN 26 for 2 yards (50-E.Wilson).",202,NA,FALSE,"RUSH","list(statId = c(3, 6, 10, 79), yards = c(0, 0, 2, 0), playerName = c(NA, NA, ""T.Hill"", ""E.Wilson""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""NO"", ""NO"", ""MIN""), gsisPlayer.id = c(NA, NA, ""32013030-2d30-3033-3333-3537640eb4b6"", ""32013030-2d30-3033-3333-3336cded481f""))","NO  3-1  MIN 28",1,FALSE,NA,"(13:06) T.Hill right tackle to MIN 26 for 2 yards (E.Wilson).",FALSE,NA,"18:14:27","MIN 28",2,1,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"12:23",1,26,8,2,"4:18","","MIN 14",TRUE,FALSE,FALSE,"XP_KICK",223,FALSE,"3",FALSE,"(12:23) (Shotgun) D.Brees pass short left to M.Thomas pushed ob at MIN 14 for 12 yards (A.Sendejo; A.Harris). Pass 5, YAC 7","(12:23) (Shotgun) 9-D.Brees pass short left to 13-M.Thomas pushed ob at MIN 14 for 12 yards (34-A.Sendejo; 41-A.Harris). Pass 5, YAC 7",223,NA,FALSE,"PASS","list(statId = c(4, 15, 111, 21, 115, 113, 82, 82), yards = c(0, 12, 5, 12, 0, 7, 0, 0), playerName = c(NA, ""D.Brees"", ""D.Brees"", ""M.Thomas"", ""M.Thomas"", ""M.Thomas"", ""A.Sendejo"", ""A.Harris""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""
), team.abbreviation = c(""NO"", ""NO"", ""NO"", ""NO"", ""NO"", ""NO"", ""MIN"", ""MIN""), gsisPlayer.id = c(NA, ""32013030-2d30-3032-3035-33318e1e348d"", ""32013030-2d30-3032-3035-33318e1e348d"", ""32013030-2d30-3033-3237-36359afa5261"", ""32013030-2d30-3033-3237-36359afa5261"", ""32013030-2d30-3033-3237-36359afa5261"", ""32013030-2d30-3032-3739-3134a2365466"", ""32013030-2d30-3033-3137-39395725d102""))","NO  1-10  MIN 26",1,FALSE,NA,"(12:23) (Shotgun) D.Brees pass short left to M.Thomas pushed ob at MIN 14 for 12 yards (A.Sendejo; A.Harris). Pass 5, YAC 7",FALSE,NA,"18:15:10","MIN 26",12,10,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"12:00",1,26,8,2,"4:18","","MIN 9",TRUE,FALSE,TRUE,"XP_KICK",252,TRUE,"20",FALSE,"(12:00) (Shotgun) D.Brees pass incomplete short left to A.Kamara. PENALTY on MIN-E.Griffen, Illegal Use of Hands, 5 yards, enforced at MIN 14 - No Play.","(12:00) (Shotgun) 9-D.Brees pass incomplete short left to 41-A.Kamara. PENALTY on MIN-97-E.Griffen, Illegal Use of Hands, 5 yards, enforced at MIN 14 - No Play.",252,NA,NA,"PENALTY","list(statId = c(5, 93), yards = c(0, 5), playerName = c(NA, ""E.Griffen""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""MIN""), gsisPlayer.id = c(NA, ""32013030-2d30-3032-3737-3031290b02d4""))","NO  1-10  MIN 14",1,FALSE,NA,"(12:00) (Shotgun) D.Brees pass incomplete short left to A.Kamara. PENALTY on MIN-E.Griffen, Illegal Use of Hands, 5 yards, enforced at MIN 14 - No Play.",FALSE,NA,"18:15:38","MIN 14",5,10,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"11:56",1,26,8,2,"4:18","","MIN 8",FALSE,TRUE,TRUE,"XP_KICK",289,FALSE,"10",FALSE,"(11:56) (Shotgun) L.Murray left guard to MIN 8 for 1 yard (X.Rhodes; S.Stephen).","(11:56) (Shotgun) 28-L.Murray left guard to MIN 8 for 1 yard (29-X.Rhodes; 93-S.Stephen).",289,NA,FALSE,"RUSH","list(statId = c(10, 82, 82), yards = c(1, 0, 0), playerName = c(""L.Murray"", ""X.Rhodes"", ""S.Stephen""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""MIN"", ""MIN""), gsisPlayer.id = c(""32013030-2d30-3033-3035-3133a7a74674"", ""32013030-2d30-3033-3035-3735b599af52"", ""32013030-2d30-3033-3132-3432cb806d36""))","NO  1-Goal  MIN 9",1,FALSE,NA,"(11:56) (Shotgun) L.Murray left guard to MIN 8 for 1 yard (X.Rhodes; S.Stephen).",FALSE,NA,"18:16:31","MIN 9",1,9,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"11:12",2,26,8,2,"4:18","","MIN 4",FALSE,TRUE,TRUE,"XP_KICK",310,FALSE,"3",FALSE,"(11:12) (Shotgun) D.Brees pass short right to J.Cook to MIN 4 for 4 yards (H.Smith). Pass 3, YAC 1","(11:12) (Shotgun) 9-D.Brees pass short right to 87-J.Cook to MIN 4 for 4 yards (22-H.Smith). Pass 3, YAC 1",310,NA,FALSE,"PASS","list(statId = c(15, 111, 21, 115, 113, 79), yards = c(4, 3, 4, 0, 1, 0), playerName = c(""D.Brees"", ""D.Brees"", ""J.Cook"", ""J.Cook"", ""J.Cook"", ""H.Smith""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""NO"", ""NO"", ""NO"", ""NO"", ""MIN""), gsisPlayer.id = c(""32013030-2d30-3032-3035-33318e1e348d"", 
""32013030-2d30-3032-3035-33318e1e348d"", ""32013030-2d30-3032-3730-3631724728ba"", ""32013030-2d30-3032-3730-3631724728ba"", ""32013030-2d30-3032-3730-3631724728ba"", ""32013030-2d30-3032-3936-30366a1af096""))","NO  2-Goal  MIN 8",1,FALSE,NA,"(11:12) (Shotgun) D.Brees pass short right to J.Cook to MIN 4 for 4 yards (H.Smith). Pass 3, YAC 1",FALSE,NA,"18:17:15","MIN 8",4,8,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"10:33",3,26,8,2,"4:18","","MIN 11",FALSE,TRUE,TRUE,"XP_KICK",334,FALSE,"7",FALSE,"(10:33) (Shotgun) D.Brees sacked at MIN 11 for -7 yards (sack split by E.Griffen and D.Hunter).","(10:33) (Shotgun) 9-D.Brees sacked at MIN 11 for -7 yards (sack split by 97-E.Griffen and 99-D.Hunter).",334,NA,NA,"SACK","list(statId = c(7, 20, 84, 84, 110, 110, 82, 82), yards = c(0, -7, -7, -7, 0, 0, 0, 0), playerName = c(NA, ""D.Brees"", ""E.Griffen"", ""D.Hunter"", ""E.Griffen"", ""D.Hunter"", ""E.Griffen"", ""D.Hunter""), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""
), team.abbreviation = c(""NO"", ""NO"", ""MIN"", ""MIN"", ""MIN"", ""MIN"", ""MIN"", ""MIN""), gsisPlayer.id = c(NA, ""32013030-2d30-3032-3035-33318e1e348d"", ""32013030-2d30-3032-3737-3031290b02d4"", ""32013030-2d30-3033-3135-3635a7e4ecea"", ""32013030-2d30-3032-3737-3031290b02d4"", ""32013030-2d30-3033-3135-3635a7e4ecea"", ""32013030-2d30-3032-3737-3031290b02d4"", ""32013030-2d30-3033-3135-3635a7e4ecea""))","NO  3-Goal  MIN 4",1,FALSE,NA,"(10:33) (Shotgun) D.Brees sacked at MIN 11 for -7 yards (sack split by E.Griffen and D.Hunter).",FALSE,NA,"18:17:53","MIN 4",-7,4,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"09:56",4,26,8,2,"4:18","09:52","",FALSE,TRUE,FALSE,"XP_KICK",357,FALSE,"10",FALSE,"(9:56) W.Lutz 29 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.","(9:56) 3-W.Lutz 29 yard field goal is GOOD, Center-49-Z.Wood, Holder-6-T.Morstead.",357,NA,NA,"FIELD_GOAL","list(statId = 70, yards = 29, playerName = ""W.Lutz"", team.id = ""10043300-2019-7a23-65e6-76dca4e10c9a"", team.abbreviation = ""NO"", gsisPlayer.id = ""32013030-2d30-3033-3235-3639b354dd13"")","NO  4-Goal  MIN 11",1,TRUE,"FG","(9:56) W.Lutz 29 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",TRUE,NA,"18:18:31","MIN 11",29,11,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx","10043300-2019-7a23-65e6-76dca4e10c9a","NO","Saints"
"09:52",0,50,11,3,"5:47","","MIN 25",FALSE,FALSE,FALSE,"XP_KICK",376,FALSE,"5",FALSE,"W.Lutz kicks 65 yards from NO 35 to end zone, Touchback.","3-W.Lutz kicks 65 yards from NO 35 to end zone, Touchback.",376,NA,NA,"KICK_OFF","list(statId = c(410, 44, 51), yards = c(67, 65, 0), playerName = c(""W.Lutz"", ""W.Lutz"", NA), team.id = c(""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043000-2019-8ed4-5a69-08ce2bf7af27""), team.abbreviation = c(""NO"", ""NO"", ""MIN""), gsisPlayer.id = c(""32013030-2d30-3033-3235-3639b354dd13"", ""32013030-2d30-3033-3235-3639b354dd13"", NA))","NO  KO  NO 35",1,FALSE,NA,"W.Lutz kicks 65 yards from NO 35 to end zone, Touchback.",TRUE,NA,"18:21:29","NO 35",40,0,NA,"NO","Saints","https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx",NA,NA,NA
"09:52",1,50,11,3,"5:47","","MIN 32",FALSE,FALSE,FALSE,"XP_KICK",391,FALSE,"17",FALSE,"(9:52) D.Cook right end to MIN 32 for 7 yards (D.Onyemata; D.Davis).","(9:52) 33-D.Cook right end to MIN 32 for 7 yards (93-D.Onyemata; 56-D.Davis).",391,NA,FALSE,"RUSH","list(statId = c(10, 82, 82), yards = c(7, 0, 0), playerName = c(""D.Cook"", ""D.Onyemata"", ""D.Davis""), team.id = c(""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a""), team.abbreviation = c(""MIN"", ""NO"", ""NO""), gsisPlayer.id = c(""32013030-2d30-3033-3338-39337f9ee497"", ""32013030-2d30-3033-3330-353144e2eaf1"", ""32013030-2d30-3032-3936-3037bf74ff59""))","MIN  1-10  MIN 25",1,FALSE,NA,"(9:52) D.Cook right end to MIN 32 for 7 yards (D.Onyemata; D.Davis).",FALSE,NA,"18:22:11","MIN 25",7,10,NA,"MIN","Vikings","https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu",NA,NA,NA
"09:15",2,50,11,3,"5:47","","MIN 35",TRUE,FALSE,FALSE,"XP_KICK",412,FALSE,"9",FALSE,"(9:15) D.Cook left guard to MIN 35 for 3 yards (D.Onyemata).","(9:15) 33-D.Cook left guard to MIN 35 for 3 yards (93-D.Onyemata).",412,NA,FALSE,"RUSH","list(statId = c(3, 10, 79), yards = c(0, 3, 0), playerName = c(NA, ""D.Cook"", ""D.Onyemata""), team.id = c(""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a""), team.abbreviation = c(""MIN"", ""MIN"", ""NO""), gsisPlayer.id = c(NA, ""32013030-2d30-3033-3338-39337f9ee497"", ""32013030-2d30-3033-3330-353144e2eaf1""))","MIN  2-3  MIN 32",1,FALSE,NA,"(9:15) D.Cook left guard to MIN 35 for 3 yards (D.Onyemata).",FALSE,NA,"18:22:48","MIN 32",3,3,NA,"MIN","Vikings","https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu",NA,NA,NA
"08:41",1,50,11,3,"5:47","","MIN 34",FALSE,FALSE,FALSE,"XP_KICK",433,FALSE,"12",FALSE,"(8:41) D.Cook left end to MIN 34 for -1 yards (S.Tuttle, J.Jenkins).","(8:41) 33-D.Cook left end to MIN 34 for -1 yards (99-S.Tuttle, 20-J.Jenkins).",433,NA,FALSE,"RUSH","list(statId = c(10, 95, 80, 82, 120), yards = c(-1, -1, 0, 0, 0), playerName = c(""D.Cook"", NA, ""S.Tuttle"", ""J.Jenkins"", ""S.Tuttle""), team.id = c(""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a"", ""10043300-2019-7a23-65e6-76dca4e10c9a""), team.abbreviation = c(""MIN"", ""MIN"", ""NO"", ""NO"", ""NO""), gsisPlayer.id = c(""32013030-2d30-3033-3338-39337f9ee497"", NA, ""32013030-2d30-3033-3534-3039e2adb545"", 
""32013030-2d30-3032-3936-383164609c06"", ""32013030-2d30-3033-3534-3039e2adb545""))","MIN  1-10  MIN 35",1,FALSE,NA,"(8:41) D.Cook left end to MIN 34 for -1 yards (S.Tuttle, J.Jenkins).",FALSE,NA,"18:23:22","MIN 35",-1,10,NA,"MIN","Vikings","https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu",NA,NA,NA
"08:03",2,50,11,3,"5:47","","MIN 44",FALSE,FALSE,FALSE,"XP_KICK",454,FALSE,"9",FALSE,"(8:03) K.Cousins pass short right to A.Mattison to MIN 44 for 10 yards (C.Gardner-Johnson). Pass -2, YAC 12","(8:03) 8-K.Cousins pass short right to 25-A.Mattison to MIN 44 for 10 yards (22-C.Gardner-Johnson). Pass -2, YAC 12",454,NA,FALSE,"PASS","list(statId = c(15, 111, 21, 115, 113, 79), yards = c(10, -2, 10, 0, 12, 0), playerName = c(""K.Cousins"", ""K.Cousins"", ""A.Mattison"", ""A.Mattison"", ""A.Mattison"", ""C.Gardner-Johnson""), team.id = c(""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043000-2019-8ed4-5a69-08ce2bf7af27"", ""10043300-2019-7a23-65e6-76dca4e10c9a""), team.abbreviation = c(""MIN"", ""MIN"", ""MIN"", ""MIN"", ""MIN"", ""NO""), gsisPlayer.id = c(""32013030-2d30-3032-3936-303492e9d55e"", 
""32013030-2d30-3032-3936-303492e9d55e"", ""32013030-2d30-3033-3439-373266fec4d2"", ""32013030-2d30-3033-3439-373266fec4d2"", ""32013030-2d30-3033-3439-373266fec4d2"", ""32013030-2d30-3033-3532-3533f7d2f9e1""))","MIN  2-11  MIN 34",1,FALSE,NA,"(8:03) K.Cousins pass short right to A.Mattison to MIN 44 for 10 yards (C.Gardner-Johnson). Pass -2, YAC 12",FALSE,NA,"18:24:00","MIN 34",10,11,NA,"MIN","Vikings","https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu",NA,NA,NA
